Category,ID,Latitude,Longitude,Date,MODIS_Tile,MOD11A2_061_Line_Y_1km,MOD11A2_061_Sample_X_1km,MOD11A2_061_LST_Day_1km,MOD11A2_061_QC_Day,MOD11A2_061_QC_Day_bitmask,MOD11A2_061_QC_Day_MODLAND,MOD11A2_061_QC_Day_MODLAND_Description,MOD11A2_061_QC_Day_Data_Quality_flag,MOD11A2_061_QC_Day_Data_Quality_flag_Description,MOD11A2_061_QC_Day_Emis_Error_flag,MOD11A2_061_QC_Day_Emis_Error_flag_Description,MOD11A2_061_QC_Day_LST_Error_Flag,MOD11A2_061_QC_Day_LST_Error_Flag_Description
Lavoura,MTAgro,-12.5564,-55.7224,2020-12-26,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-01,h12v10,306.0,673.0,310.56,65.0,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-09,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-17,h12v10,306.0,673.0,309.9,65.0,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-25,h12v10,306.0,673.0,312.24,81.0,0b01010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b01,Average LST error <= 2K
Lavoura,MTAgro,-12.5564,-55.7224,2021-02-02,h12v10,306.0,673.0,303.72,65.0,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
Lavoura,MTAgro,-12.5564,-55.7224,2021-02-10,h12v10,306.0,673.0,310.74,81.0,0b01010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b01,Average LST error <= 2K
Lavoura,MTAgro,-12.5564,-55.7224,2021-02-18,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2021-02-26,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2021-03-06,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2021-03-14,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2021-03-22,h12v10,306.0,673.0,309.98,65.0,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
Lavoura,MTAgro,-12.5564,-55.7224,2021-03-30,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2021-04-07,h12v10,306.0,673.0,309.08,65.0,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
Lavoura,MTAgro,-12.5564,-55.7224,2021-04-15,h12v10,306.0,673.0,308.3,65.0,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
Lavoura,MTAgro,-12.5564,-55.7224,2021-04-23,h12v10,306.0,673.0,306.24,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2021-05-01,h12v10,306.0,673.0,308.84,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2021-05-09,h12v10,306.0,673.0,308.86,17.0,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2021-05-17,h12v10,306.0,673.0,309.0,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2021-05-25,h12v10,306.0,673.0,309.5,17.0,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2021-06-02,h12v10,306.0,673.0,308.72,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2021-06-10,h12v10,306.0,673.0,308.26,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2021-06-18,h12v10,306.0,673.0,308.86,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2021-06-26,h12v10,306.0,673.0,306.3,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2021-07-04,h12v10,306.0,673.0,308.02,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2021-07-12,h12v10,306.0,673.0,309.2,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2021-07-20,h12v10,306.0,673.0,308.56,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2021-07-28,h12v10,306.0,673.0,308.4,81.0,0b01010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b01,Average LST error <= 2K
Lavoura,MTAgro,-12.5564,-55.7224,2021-08-05,h12v10,306.0,673.0,310.2,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
