Category,ID,Latitude,Longitude,Date,SMAP_Tile,SPL4SMGP_008_Line_Y_9.00805km,SPL4SMGP_008_Sample_X_9.00805km,SPL4SMGP_008_Geophysical_Data_sm_surface
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-01 01:30:00 UTC,h00v00,988.0,1331.0,0.3403144
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-01 04:30:00 UTC,h00v00,988.0,1331.0,0.3417534
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-01 07:30:00 UTC,h00v00,988.0,1331.0,0.342192
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-01 10:30:00 UTC,h00v00,988.0,1331.0,0.3418874
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-01 13:30:00 UTC,h00v00,988.0,1331.0,0.3377481
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-01 16:30:00 UTC,h00v00,988.0,1331.0,0.3295074
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-01 19:30:00 UTC,h00v00,988.0,1331.0,0.3233575
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-01 22:30:00 UTC,h00v00,988.0,1331.0,0.3243595
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-02 01:30:00 UTC,h00v00,988.0,1331.0,0.3330548
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-02 04:30:00 UTC,h00v00,988.0,1331.0,0.3386237
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-02 07:30:00 UTC,h00v00,988.0,1331.0,0.3389943
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-02 10:30:00 UTC,h00v00,988.0,1331.0,0.3363982
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-02 13:30:00 UTC,h00v00,988.0,1331.0,0.3366975
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-02 16:30:00 UTC,h00v00,988.0,1331.0,0.3487333
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-02 19:30:00 UTC,h00v00,988.0,1331.0,0.3451278
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-02 22:30:00 UTC,h00v00,988.0,1331.0,0.3394181
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-03 01:30:00 UTC,h00v00,988.0,1331.0,0.3435533
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-03 04:30:00 UTC,h00v00,988.0,1331.0,0.3438472
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-03 07:30:00 UTC,h00v00,988.0,1331.0,0.3446547
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-03 10:30:00 UTC,h00v00,988.0,1331.0,0.3461227
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-03 13:30:00 UTC,h00v00,988.0,1331.0,0.3424908
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-03 16:30:00 UTC,h00v00,988.0,1331.0,0.3369954
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-03 19:30:00 UTC,h00v00,988.0,1331.0,0.3319901
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-03 22:30:00 UTC,h00v00,988.0,1331.0,0.3373046
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-04 01:30:00 UTC,h00v00,988.0,1331.0,0.3393853
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-04 04:30:00 UTC,h00v00,988.0,1331.0,0.3392188
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-04 07:30:00 UTC,h00v00,988.0,1331.0,0.3395689
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-04 10:30:00 UTC,h00v00,988.0,1331.0,0.3390274
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-04 13:30:00 UTC,h00v00,988.0,1331.0,0.3356023
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-04 16:30:00 UTC,h00v00,988.0,1331.0,0.3294134
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-04 19:30:00 UTC,h00v00,988.0,1331.0,0.3243568
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-04 22:30:00 UTC,h00v00,988.0,1331.0,0.3239603
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-05 01:30:00 UTC,h00v00,988.0,1331.0,0.3314978
Lavoura,MTAgro,-12.5564,-55.7224,2021-01-05 04:30:00 UTC,h00v00,988.0,1331.0,0.3380333
